DATE,EMRATIO,GovDebt%,Pers_Sav%,Trade_Bal(com)%,Inf%,GINI_INDEX,C_Sent(IND),DispIncCHAINED,C_Accounts%GDP,PCE(IND),NonFarmEmp%,LF_Part%,unemp%,LifeExp,USDJPY,M2chained,HOUST%,Age_Dep%,Cap_Ex%,PPI(IND),Ind Prod%,M2V_prop,Gov Def%,CO2,Corp_prof%,GPDI%,IR%,GovC+I,GDP
1978-01-01,59.3250000000000000,21.22401,10.7250000000000000,8.43337,7.63096383885606,34.8,79.4083333333333333,5063.1416666666666667,-0.66120047500000002500,10.70114,5.12027,63.1500000000000000,6.0666666666666667,73.3560975609756,210.3854000000000000,2026.9500000000000000,1.97519,16.8084893729941,19.40354,69.9416666666666667,5.50230,1.7775000000000000,-14.28068,4866.074825,20.35687,20.61566,7.9368767123287671,1788.7892500000000000,7052.7112500000000000
1979-01-01,59.9416666666666667,15.60320,10.3000000000000000,-4.70680,11.2544711292794,34.8,66.0250000000000000,5161.9666666666666667,-0.01244503250000000500,11.92888,3.57762,63.6500000000000000,5.8500000000000000,73.8048780487805,219.0168000000000000,1965.0500000000000000,-14.16254,16.93193770594,14.97968,78.7250000000000000,2.99365,1.8425000000000000,-36.00101,4922.312683,14.58420,12.80853,11.2027945205479452,1820.9792500000000000,7275.9992500000000000
1980-01-01,59.2083333333333333,17.57457,11.1083333333333333,-10.24384,13.5492019749685,34.7,64.4166666666666667,5201.0916666666666667,0.07388314999999999000,13.17218,0.66279,63.7750000000000000,7.1750000000000000,73.609756097561,226.6309163346613546,1869.8000000000000000,-24.28301,17.0245881421144,4.77069,89.8083333333333333,-2.58845,1.8552500000000000,142.99746,4749.052957,-6.25496,-1.76962,13.3497267759562842,1853.9380000000000000,7257.3165000000000000
1981-01-01,59.0250000000000000,24.08653,11.6583333333333333,9.48853,10.3347153402771,35.5,70.6750000000000000,5321.2083333333333333,0.15661037250000000000,14.55115,0.84013,63.8750000000000000,7.6166666666666667,74.009756097561,220.6281274900398406,1846.7166666666666667,-15.68288,17.143006690375,11.35982,98.0333333333333333,1.31433,1.9102500000000000,6.70567,4628.019975,-1.02930,19.07740,16.3863561643835616,1871.8647500000000000,7441.4850000000000000
1982-01-01,57.7833333333333333,14.42865,11.9666666666666667,6.66346,6.13142700027493,36.7,67.9750000000000000,5438.4833333333333333,-0.16185994500000001750,15.58421,-1.76092,63.9916666666666667,9.7083333333333333,74.3609756097561,249.0601195219123506,1896.5000000000000000,-3.55731,17.2713035417153,0.55175,100.0166666666666667,-5.18298,1.8267500000000000,80.04794,4385.177461,-12.59265,-7.95199,12.2376712328767123,1905.5055000000000000,7307.3140000000000000
1983-01-01,57.8666666666666667,9.35938,10.0833333333333333,62.89499,3.21243523316069,37.3,87.3833333333333333,5632.4000000000000000,-1.04802057500000003250,17.16703,0.67356,64.0083333333333333,9.6000000000000000,74.4634146341463,237.5535059760956175,2062.8000000000000000,61.29414,17.3502371484248,8.17389,101.2500000000000000,2.74308,1.7685000000000000,45.70709,4373.028419,9.31749,9.72117,9.0902739726027397,1976.6182500000000000,7642.2655000000000000
1984-01-01,59.5333333333333333,16.08423,11.2083333333333333,77.98862,4.30053547523424,37.3,97.4750000000000000,6009.0416666666666667,-2.3335962500000001,18.75254,4.71146,64.3666666666666667,7.5083333333333333,74.5634146341464,237.4621600000000000,2134.7500000000000000,3.56707,17.504439457033,16.38388,103.6750000000000000,8.91344,1.8197500000000000,-1.20245,4598.042726,10.50373,28.63810,10.2250819672131148,2046.0205000000000000,8195.2952500000000000
1985-01-01,60.1166666666666667,10.27463,9.1083333333333333,20.89860,3.54564415209365,37.6,93.1666666666666667,6194.5083333333333333,-2.7171815000000000,20.41167,3.15845,64.8083333333333333,7.1916666666666667,74.5634146341464,238.4673200000000000,2245.5833333333333333,-1.40599,17.7198061839134,8.42281,103.1500000000000000,1.22487,1.7952500000000000,9.43371,4602.38824,-4.40481,1.16597,8.0996712328767123,2182.5607500000000000,8537.0037500000000000
1986-01-01,60.6916666666666667,4.89469,8.7750000000000000,3.99414,1.89804772234276,37.6,94.7916666666666667,6430.2750000000000000,-3.2120764999999999,21.7166,2.01872,65.2416666666666667,7.0000000000000000,74.6146341463415,168.3496015936254980,2381.7666666666666667,4.04843,17.8678039843743,5.15319,100.1666666666666667,1.01355,1.7535000000000000,1.72312,4605.299068,-16.02643,2.34984,6.7994794520547945,2301.0637500000000000,8832.6112500000000000
1987-01-01,61.5250000000000000,3.61769,7.5416666666666667,9.78690,3.6645632175169,37.2,90.6416666666666667,6547.5750000000000000,-3.3093297499999999,23.14617,2.63013,65.5750000000000000,6.1750000000000000,74.7658536585366,144.6022619047619048,2448.8916666666666667,-10.01242,17.995093908333,3.60903,102.8083333333333333,5.21281,1.7447500000000000,-21.48071,4756.601275,28.47282,5.06744,6.6603561643835616,2367.8502500000000000,9137.7447500000000000
1988-01-01,62.2833333333333333,6.71502,8.4000000000000000,-19.49517,4.07774110744403,37.7,93.7333333333333333,6878.6916666666666667,-2.3161410000000000,25.05522,3.19339,65.9083333333333333,5.4916666666666667,74.7658536585366,128.1741832669322709,2478.2000000000000000,-8.74987,18.2745634536756,5.11014,106.9416666666666667,5.17439,1.7862500000000000,-14.08297,4984.97043,19.27166,5.01980,7.5718032786885246,2397.2447500000000000,9519.4267500000000000
1989-01-01,62.9416666666666667,8.77115,8.2750000000000000,-20.21414,4.82700303008954,38.2,92.7583333333333333,7078.7750000000000000,-1.7662430000000000,26.91192,2.53522,66.4416666666666667,5.2583333333333333,75.0170731707317,138.0738247011952191,2463.9416666666666667,-7.10765,18.5192038742443,5.57061,112.2416666666666667,0.90564,1.8470000000000000,10.17976,5060.946773,1.32570,6.69589,9.2149041095890411,2465.2987500000000000,9869.0032500000000000
1990-01-01,62.8000000000000000,7.18905,8.3583333333333333,-7.65052,5.39795643990325,38.3,81.6166666666666667,7224.8500000000000000,-1.3257190250000000,28.65926,1.37070,66.5333333333333333,5.6166666666666667,75.2146341463415,144.9986852589641434,2466.4500000000000000,-12.94543,18.5681451397358,2.15956,116.2916666666666667,0.96168,1.8505000000000000,50.21775,5021.814482,5.35778,-0.62536,8.0965205479452055,2544.1890000000000000,10055.1285000000000000
1991-01-01,61.6500000000000000,5.29743,8.9166666666666667,-34.42529,4.23496396453849,38.0,77.5500000000000000,7286.1500000000000000,0.05252772500000000000,29.67088,-0.99868,66.1666666666666667,6.8500000000000000,75.3658536585366,134.5909163346613546,2454.4583333333333333,-16.15875,18.6801781928746,-2.3983,116.5333333333333333,-1.47374,1.8425000000000000,15.38922,4971.1206,8.39215,-4.94293,5.6850136986301370,2574.7377500000000000,10044.2375000000000000
1992-01-01,61.4666666666666667,0.83093,9.3833333333333333,27.54891,3.02881967814969,38.4,77.2500000000000000,7576.1500000000000000,-0.78683382499999999000,31.58287,0.33069,66.4416666666666667,7.4916666666666667,75.6170731707317,126.7801185770750988,2426.6083333333333333,19.09955,18.8369994039504,4.35608,117.1916666666666667,2.92521,1.9152500000000000,21.21287,5062.695567,8.81152,7.27095,3.5210655737704918,2586.6665000000000000,10398.0462500000000000
